Match Number,Round Number,Date,Location,Home Team,Away Team,Result
294,33,15/05/2021 20:30,Estádio dos Arcos,Rio Ave FC,FC Porto,0 - 3
290,33,16/05/2021 15:00,Estádio Municipal 22 de Junho,FC Famalicão,CD Nacional,3 - 0
291,33,16/05/2021 17:00,Estádio Nacional,Belenenses SAD,Santa Clara,0 - 2
292,33,16/05/2021 20:00,Estádio do Marítimo,Marítimo M.,Vitória SC,0 - 0
299,34,18/05/2021 20:15,Estádio João Cardoso,CD Tondela,FC P.Ferreira,2 - 3
300,34,19/05/2021 18:00,Estádio do Dragão,FC Porto,Belenenses SAD,4 - 0
305,34,19/05/2021 19:00,Estádio de São Miguel,Santa Clara,SC Farense,4 - 0
298,34,19/05/2021 20:00,Estádio Comendador Joaquim de Almeida Freitas,Moreirense FC,FC Famalicão,3 - 0
301,34,19/05/2021 20:00,Estádio D. Afonso Henriques,Vitória SC,SL Benfica,1 - 3
302,34,19/05/2021 20:00,Estádio Cidade de Barcelos,Gil Vicente FC,Boavista FC,1 - 2
303,34,19/05/2021 20:00,Estádio Municipal de Portimão,Portimonense,SC Braga,0 - 0
306,34,19/05/2021 20:00,Estádio da Madeira,CD Nacional,Rio Ave FC,1 - 2
304,34,19/05/2021 21:45,Estádio José Alvalade,Sporting CP,Marítimo M.,5 - 1
